airport,icao,iata,faa,lid
http://dbpedia.org/resource/Albuquerque_International_Sunport,KABQ,ABQ,,
http://dbpedia.org/resource/Gainesville_Municipal_Airport,KGLE,GLE,,
http://dbpedia.org/resource/Kanpur_Airport,VIKA,KNU,,
"http://dbpedia.org/resource/Lakselv_Airport,_Banak",ENNA,LKL,,
http://dbpedia.org/resource/Bod%C3%B8_Airport,ENBO,BOO,,
http://dbpedia.org/resource/Antalya_Gazipa%C5%9Fa_Airport,LTFG,GZP,,
http://dbpedia.org/resource/N%27djili_Airport,FZAA,FIH,,
http://dbpedia.org/resource/Darwin_International_Airport,YPDN,DRW,,
http://dbpedia.org/resource/Hong_Kong_International_Airport,VHHH,HKG,,
http://dbpedia.org/resource/Durban_International_Airport,FADN,DUR,,
http://dbpedia.org/resource/Brunswick_Golden_Isles_Airport,KBQK,BQK,,
http://dbpedia.org/resource/Wagga_Wagga_Airport,YSWG,WGA,,
http://dbpedia.org/resource/Zaragoza_Airport,LEZG,ZAZ,,
"http://dbpedia.org/resource/Stavanger_Airport,_Sola",ENZV,SVG,,
http://dbpedia.org/resource/Bardufoss_Airport,ENDU,BDU,,
http://dbpedia.org/resource/Ch%C3%A2teauroux-Centre_%22Marcel_Dassault%22_Airport,LFLX,CHR,,
http://dbpedia.org/resource/Traian_Vuia_International_Airport,LRTR,TSR,,
"http://dbpedia.org/resource/And%C3%B8ya_Airport,_Andenes",ENAN,ANX,,
http://dbpedia.org/resource/Rosecrans_Memorial_Airport,KSTJ,STJ,,
"http://dbpedia.org/resource/Moss_Airport,_Rygge",ENRY,RYG,,
http://dbpedia.org/resource/Amedee_Army_Airfield,KAHC,AHC,,
http://dbpedia.org/resource/New_Castle_Airport,KILG,ILG,,
http://dbpedia.org/resource/Kinston_Regional_Jetport,KISO,ISO,,
http://dbpedia.org/resource/Airborne_Airpark,KILN,ILN,,
http://dbpedia.org/resource/Anglesey_Airport,EGOV,VLY,,
http://dbpedia.org/resource/Bhuj_Airport,VABJ,BHJ,,
http://dbpedia.org/resource/Kitaky%C5%ABsh%C5%AB_Airport,RJFR,KKJ,,
http://dbpedia.org/resource/Charleston_International_Airport,KCHS,CHS,,
http://dbpedia.org/resource/Teniente_R._Marsh_Airport,SCRM,TNM,,
http://dbpedia.org/resource/Saglek_Airport,CYSV,YSV,,
http://dbpedia.org/resource/Lok_Nayak_Jayaprakash_Airport,VEPT,PAT,,
http://dbpedia.org/resource/Naval_Air_Station_Cecil_Field,KVQQ,NZC,,
http://dbpedia.org/resource/Ponta_Pelada_Airport,SBMN,PLL,,
http://dbpedia.org/resource/Natal_Air_Force_Base,SBNT,NAT,,
http://dbpedia.org/resource/Valley_International_Airport,KHRL,HRL,,
http://dbpedia.org/resource/Aalborg_Airport,EKYT,AAL,,
http://dbpedia.org/resource/McGhee_Tyson_Airport,KTYS,TYS,,
http://dbpedia.org/resource/Misawa_Airport,RJSM,MSJ,,
http://dbpedia.org/resource/Canberra_International_Airport,YSCB,CBR,,
http://dbpedia.org/resource/Invercargill_Airport,NZNV,IVC,,
http://dbpedia.org/resource/Gunsan_Airport,RKJK,KUV,,
http://dbpedia.org/resource/Wichita_Falls_Municipal_Airport,KSPS,SPS,,
http://dbpedia.org/resource/Brindisi_Airport,LIBR,BDS,,
http://dbpedia.org/resource/Bloemfontein_Airport,FABL,BFN,,
http://dbpedia.org/resource/LA/Palmdale_Regional_Airport,KPMD,PMD,,
http://dbpedia.org/resource/Bordeaux%E2%80%93M%C3%A9rignac_Airport,LFBD,BOD,,
http://dbpedia.org/resource/Dhahran_International_Airport,OEDR,DHA,,
http://dbpedia.org/resource/Mihail_Kog%C4%83lniceanu_International_Airport,LRCK,CND,,
http://dbpedia.org/resource/Governador_Jorge_Teixeira_de_Oliveira_International_Airport,SBPV,PVH,,
http://dbpedia.org/resource/Ancona_Airport,LIPY,AOI,,
http://dbpedia.org/resource/Ch%C3%A2lons_Vatry_Airport,LFOK,XCR,,
http://dbpedia.org/resource/Rio_de_Janeiro-Gale%C3%A3o_International_Airport,SBGL,GIG,,
http://dbpedia.org/resource/Baden_Airpark,EDSB,FKB,,
"http://dbpedia.org/resource/Oslo_Airport,_Gardermoen",ENGM,OSL,,
http://dbpedia.org/resource/Madrid-Torrej%C3%B3n_Airport,LETO,TOJ,,
http://dbpedia.org/resource/Pittsburgh_International_Airport,KPIT,PIT,,
http://dbpedia.org/resource/Ninoy_Aquino_International_Airport,RPLL,MNL,,
http://dbpedia.org/resource/Francis_S._Gabreski_Airport,KFOK,FOK,,
http://dbpedia.org/resource/Columbus_Municipal_Airport_%28Indiana%29,KBAK,CLU,,
http://dbpedia.org/resource/Bac%C4%83u_International_Airport,LRBC,BCM,,
http://dbpedia.org/resource/Gander_International_Airport,CYQX,YQX,,
http://dbpedia.org/resource/Austin-Bergstrom_International_Airport,KAUS,AUS,,
http://dbpedia.org/resource/Colorado_Springs_Airport,KCOS,COS,,
http://dbpedia.org/resource/Herc%C3%ADlio_Luz_International_Airport,SBFL,FLN,,
http://dbpedia.org/resource/Dane_County_Regional_Airport,KMSN,MSN,,
http://dbpedia.org/resource/Naha_Airport,ROAH,OKA,,
http://dbpedia.org/resource/Dobbins_Air_Reserve_Base,KMGE,MGE,,
http://dbpedia.org/resource/Paris-Orly_Airport,LFPO,ORY,,
http://dbpedia.org/resource/Campbeltown_Airport,EGEC,CAL,,
http://dbpedia.org/resource/Henri_Coand%C4%83_International_Airport,LROP,OTP,,
"http://dbpedia.org/resource/Trondheim_Airport,_V%C3%A6rnes",ENVA,TRD,,
http://dbpedia.org/resource/L.F._Wade_International_Airport,TXKF,BDA,,
http://dbpedia.org/resource/Honolulu_International_Airport,PHNL,HNL,,
http://dbpedia.org/resource/Mactan-Cebu_International_Airport,RPVM,CEB,,
http://dbpedia.org/resource/Newcastle_Airport_%28Williamtown%29,YWLM,NTL,,
http://dbpedia.org/resource/Paine_Field,KPAE,PAE,,
http://dbpedia.org/resource/Northwest_Florida_Regional_Airport,KVPS,VPS,,
http://dbpedia.org/resource/Bartolomeu_de_Gusm%C3%A3o_Airport,SBSC,SNZ,,
http://dbpedia.org/resource/Celle_Air_Base,ETHC,ZCN,,
http://dbpedia.org/resource/%C3%98rland_Airport,ENOL,OLA,,
http://dbpedia.org/resource/Santa_Maria_Airport_%28Rio_Grande_do_Sul%29,SBSM,RIA,,
http://dbpedia.org/resource/Ardmore_Municipal_Airport,KADM,ADM,,
http://dbpedia.org/resource/Burlington_International_Airport,KBTV,BTV,,
http://dbpedia.org/resource/Beirut_Rafic_Hariri_International_Airport,OLBA,BEY,,
http://dbpedia.org/resource/Manchester-Boston_Regional_Airport,KMHT,MHT,,
http://dbpedia.org/resource/Youngstown-Warren_Regional_Airport,KYNG,YNG,,
http://dbpedia.org/resource/Mitiga_International_Airport,HLLM,MJI,,
http://dbpedia.org/resource/Cibao_International_Airport,MDST,STI,,
http://dbpedia.org/resource/Yuma_International_Airport,KNYL,,,
http://dbpedia.org/resource/Singapore_Changi_Airport,WSSS,,,
http://dbpedia.org/resource/Wattisham_Airfield,EGUW,,,
http://dbpedia.org/resource/Chu_Lai_International_Airport,VVCL,,,
http://dbpedia.org/resource/Kru%C5%A1evac_Airport,LYKS,,,
http://dbpedia.org/resource/Inhaca_Airport,FQIA,,,
http://dbpedia.org/resource/JMSDF_Hachinohe_Air_Base,RJSH,,,
http://dbpedia.org/resource/Victoria_STOLport,CYMY,,,
http://dbpedia.org/resource/Lisi%C4%8Dji_Jarak_Airport,LYBJ,,,
http://dbpedia.org/resource/Townsville_Airport,YBTL,,,
http://dbpedia.org/resource/Utsunomiya_Air_Field,RJOE,,,
http://dbpedia.org/resource/Kauhajoki_Airfield,EFKJ,,,
http://dbpedia.org/resource/Reno_Stead_Airport,KRTS,,,
http://dbpedia.org/resource/North_Texas_Regional_Airport,KGYI,,,
http://dbpedia.org/resource/Quonset_State_Airport,KOQU,,,
http://dbpedia.org/resource/Smederevska_Palanka_Airport,LYSP,,,
http://dbpedia.org/resource/Wickenby_Aerodrome,EGNW,,,
http://dbpedia.org/resource/Connemara_Airport,EICA,,,
http://dbpedia.org/resource/Clonbullogue_Aerodrome,EICL,,,
http://dbpedia.org/resource/Peronne-St_Quentin_Airport,LFAG,,,
http://dbpedia.org/resource/Canton-Plymouth-Mettetal_Airport,,,1D2,
http://dbpedia.org/resource/Columbus_Municipal_Airport_%28Indiana%29,,,BAK,
http://dbpedia.org/resource/San_P%C3%A9dro_Airport,,SPR,,
http://dbpedia.org/resource/Yuma_International_Airport,,,NYL,
http://dbpedia.org/resource/Quonset_State_Airport,,,OQU,
http://dbpedia.org/resource/Cecil_Field,,,VQQ,